1580388042:[PRESS , 95]P  +4340mbar,T-27468mdegC
1580388044:[PRESS , 95]P  +4340mbar,T+11528mdegC
1580388046:[PRESS , 95]P  +4350mbar,T-27468mdegC
1580388048:[PRESS , 95]P  +4360mbar,T+11528mdegC
1580388060:[PRESS , 95]P  +4380mbar,T-15012mdegC
1580388064:[PRESS , 95]P  +4390mbar,T+11528mdegC
1580388066:[PRESS , 95]P  +4400mbar,T-15012mdegC
1580388126:[PRESS , 81]P  +4540mbar,T+11528mdegC
1580388128:[PRESS , 95]P  +4540mbar,T-27468mdegC
1580388130:[PRESS , 95]P  +4540mbar,T-15012mdegC
1580388132:[PRESS , 95]P  +4550mbar,T+11528mdegC
1580388139:[PRESS , 95]P  +4580mbar,T-27468mdegC
1580388141:[PRESS , 95]P  +4580mbar,T+11528mdegC
1580388143:[PRESS , 95]P  +4590mbar,T+23981mdegC
1580388144:[PRESS , 95]P  +4600mbar,T+11528mdegC
1580388150:[PRESS , 95]P  +4600mbar,T-15012mdegC
1580388151:[PRESS , 95]P  +4600mbar,T+11528mdegC
1580388154:[MONITR,461]battery 15420mV,    2928uA
1580388159:[PUMP  ,368]during 17095ms
1580388159:[MONITR,461]battery 15226mV,  166530uA
1580388161:[MONITR,461]battery 15113mV,  309270uA
1580388177:[MONITR,461]battery 15231mV,  117608uA
1580388214:[PRESS , 81]P  +4710mbar,T-15012mdegC
1580388216:[PRESS , 95]P  +4710mbar,T-27468mdegC
1580388218:[PRESS , 95]P  +4700mbar,T+11528mdegC
1580388221:[PRESS , 95]P  +4700mbar,T-15012mdegC
1580388223:[PRESS , 95]P  +4710mbar,T-27468mdegC
1580388225:[PRESS , 95]P  +4710mbar,T+11528mdegC
1580388227:[PRESS , 95]P  +4720mbar,T-15012mdegC
1580388230:[PRESS , 95]P  +4710mbar,T+11528mdegC
1580388232:[PRESS , 95]P  +4710mbar,T-15012mdegC
1580388234:[PRESS , 95]P  +4720mbar,T+11528mdegC
1580388239:[PRESS , 95]P  +4740mbar,T-27468mdegC
1580388300:[PRESS , 81]P  +4890mbar,T+11528mdegC
1580388361:[PRESS , 81]P  +5050mbar,T+11528mdegC
1580388362:[MONITR,461]battery 15415mV,    2928uA
1580388368:[PUMP  ,368]during 7297ms
1580388369:[MONITR,461]battery 15115mV,  300730uA
1580388376:[MONITR,461]battery 15235mV,  131272uA
1580388424:[PRESS , 81]P  +5200mbar,T+11528mdegC
1580388425:[PRESS , 95]P  +5200mbar,T-15012mdegC
1580388427:[PRESS , 95]P  +5220mbar,T+11528mdegC
1580388431:[PRESS , 95]P  +5220mbar,T-15012mdegC
1580388436:[PRESS , 95]P  +5240mbar,T+11528mdegC
1580388443:[PRESS , 95]P  +5270mbar,T-15012mdegC
1580388449:[PRESS , 95]P  +5280mbar,T+11528mdegC
1580388449:[MAIN  ,646]stage[1]
1580388451:[MAIN  ,651]internal pressure 80378Pa
1580388452:[MRMAID,557]acq started
1580388462:[BUOY  ,656]P  +5300mbar
